Detailed solution trace (one move per line)
alpha=1.0, beta=1.0
step	from	to	edge_dist	city_gold_total	taken_here	carry_before	carry_after	move_cost	cumulative_cost	delivered_total_so_far
57	49	57	0.120574	435.661963	435.661963	317.821754	753.483717	38.441676	5711.634774	10955.772589
58	57	28	0.403083	521.151730	0.000000	753.483717	753.483717	304.119259	6015.754033	10955.772589
59	28	0	0.080083	0.000000	0.000000	753.483717	0.000000	60.421219	6076.175252	11709.256306
60	0	17	0.312017	958.600654	0.000000	0.000000	0.000000	0.312017	6076.487269	11709.256306
61	17	13	0.145695	581.480079	0.000000	0.000000	0.000000	0.145695	6076.632965	11709.256306
62	13	8	0.090114	145.379665	145.379665	0.000000	145.379665	0.090114	6076.723079	11709.256306
63	8	13	0.090114	581.480079	0.000000	145.379665	145.379665	13.190899	6089.913978	11709.256306
64	13	17	0.145695	958.600654	958.600654	145.379665	1103.980319	21.326811	6111.240788	11709.256306
65	17	0	0.312017	0.000000	0.000000	1103.980319	0.000000	344.773135	6456.013923	12813.236625
66	0	52	0.353190	515.542072	515.542072	0.000000	515.542072	0.353190	6456.367114	12813.236625
67	52	0	0.353190	0.000000	0.000000	515.542072	0.000000	182.437673	6638.804787	13328.778697
68	0	17	0.312017	958.600654	0.000000	0.000000	0.000000	0.312017	6639.116804	13328.778697
69	17	23	0.128489	937.888629	0.000000	0.000000	0.000000	0.128489	6639.245293	13328.778697
70	23	7	0.082830	330.531351	330.531351	0.000000	330.531351	0.082830	6639.328123	13328.778697
71	7	23	0.082830	937.888629	937.888629	330.531351	1268.419980	27.460581	6666.788704	13328.778697
72	23	17	0.128489	958.600654	0.000000	1268.419980	1268.419980	163.106196	6829.894900	13328.778697
73	17	0	0.312017	0.000000	0.000000	1268.419980	0.000000	396.081178	7225.976078	14597.198677
74	0	28	0.080083	521.151730	0.000000	0.000000	0.000000	0.080083	7226.056160	14597.198677
75	28	31	0.223206	826.465632	826.465632	0.000000	826.465632	0.223206	7226.279367	14597.198677
76	31	28	0.223206	521.151730	0.000000	826.465632	826.465632	184.695598	7410.974965	14597.198677
77	28	0	0.080083	0.000000	0.000000	826.465632	0.000000	66.265820	7477.240785	15423.664309
78	0	39	0.289570	727.267620	727.267620	0.000000	727.267620	0.289570	7477.530355	15423.664309
79	39	0	0.289570	0.000000	0.000000	727.267620	0.000000	210.884548	7688.414903	16150.931929
80	0	30	0.170865	22.590468	0.000000	0.000000	0.000000	0.170865	7688.585769	16150.931929
81	30	10	0.147078	588.056928	0.000000	0.000000	0.000000	0.147078	7688.732847	16150.931929
82	10	12	0.161170	925.194998	925.194998	0.000000	925.194998	0.161170	7688.894017	16150.931929
83	12	10	0.161170	588.056928	0.000000	925.194998	925.194998	149.275092	7838.169109	16150.931929
84	10	30	0.147078	22.590468	0.000000	925.194998	925.194998	136.223039	7974.392148	16150.931929
85	30	0	0.170865	0.000000	0.000000	925.194998	0.000000	158.254684	8132.646832	17076.126927
86	0	28	0.080083	521.151730	0.000000	0.000000	0.000000	0.080083	8132.726915	17076.126927
87	28	24	0.483755	572.156324	572.156324	0.000000	572.156324	0.483755	8133.210670	17076.126927
88	24	28	0.483755	521.151730	0.000000	572.156324	572.156324	277.267421	8410.478092	17076.126927
89	28	0	0.080083	0.000000	0.000000	572.156324	0.000000	45.900001	8456.378093	17648.283251
90	0	28	0.080083	521.151730	0.000000	0.000000	0.000000	0.080083	8456.458176	17648.283251
91	28	27	0.324927	332.237428	0.000000	0.000000	0.000000	0.324927	8456.783103	17648.283251
92	27	6	0.074327	494.496828	494.496828	0.000000	494.496828	0.074327	8456.857430	17648.283251
93	6	27	0.074327	332.237428	332.237428	494.496828	826.734257	36.828649	8493.686079	17648.283251
94	27	28	0.324927	521.151730	0.000000	826.734257	826.734257	268.953405	8762.639484	17648.283251
95	28	0	0.080083	0.000000	0.000000	826.734257	0.000000	66.287332	8828.926816	18475.017508
